City,Population_Density_per_km2,Industrial_Activity_Level,Plastic_Waste_per_day_tonnes,Nearby_Water_Body,Wastewater_Treatment_Quality,Waste_Disposal_Regulation,Plastic_Recycling_Effort,Proximity_to_Ecosensitive_Zone,Uncollected_Plastic_Waste_tonnes_per_day,Annual_Rainfall_mm,Surface_Water_pH,Plastic_Bottle_Usage_per_1000_people,Wastewater_Discharge_MLD,Distance_to_Nearest_Water_Body_km,Microplastic_Risk_Level
City_1,21086,Medium,192,No,Good,Unregulated,Low,Yes,173,1349,7.04,725,256,17.1,Medium
City_2,4135,High,436,Yes,Poor,Unregulated,High,No,236,1158,6.56,1459,392,8.65,Medium
City_3,12007,Medium,287,No,Average,Well Regulated,Low,No,156,1394,6.3,3567,404,6.67,Medium
City_4,9032,Medium,428,Yes,Average,Partially Regulated,Moderate,Yes,29,1656,6.84,1315,291,12.5,Medium
City_5,2764,Medium,552,Yes,Poor,Well Regulated,Low,Yes,56,1129,8.36,3620,208,17.38,Medium
City_6,13612,Low,222,No,Good,Unregulated,Moderate,No,242,1129,6.81,516,211,8.84,Medium
City_7,11530,Medium,66,Yes,Good,Well Regulated,High,No,23,1673,7.3,1743,466,23.43,Low
City_8,23213,Low,729,Yes,Average,Well Regulated,High,Yes,152,1430,7.76,2705,88,1.17,Medium
City_9,6583,Low,636,No,Good,Well Regulated,Low,No,10,1059,6.91,3024,297,10.57,Low
City_10,22874,High,462,Yes,Average,Partially Regulated,Moderate,No,63,1362,8.43,1569,368,24.2,Medium
City_11,8039,High,514,Yes,Poor,Well Regulated,Moderate,No,268,1060,8.41,3944,266,13.79,High
City_12,11338,Low,153,No,Average,Partially Regulated,Low,Yes,153,1060,6.63,3065,470,10.7,Medium
City_13,16840,Medium,170,Yes,Good,Well Regulated,High,Yes,21,1272,7.24,1560,95,14.3,Low
City_14,6584,High,462,Yes,Average,Well Regulated,Low,Yes,233,626,6.75,2827,173,14.48,Medium
City_15,13380,Medium,267,Yes,Poor,Well Regulated,Moderate,No,281,682,6.71,3920,163,18.34,Medium
City_16,8606,Low,144,Yes,Good,Unregulated,High,No,165,1031,6.09,801,454,3.37,Low
City_17,22723,Medium,243,Yes,Good,Well Regulated,Moderate,No,17,896,7.52,4776,105,6.4,Medium
City_18,22748,Medium,380,Yes,Good,Partially Regulated,High,Yes,131,1294,7.26,1106,204,14.6,Medium
City_19,24421,Low,616,No,Poor,Unregulated,Low,Yes,173,927,6.13,3670,304,21.7,High
City_20,16280,Medium,215,No,Poor,Well Regulated,Moderate,Yes,99,776,6.7,1199,481,14.13,Medium
City_21,24988,Medium,127,No,Average,Well Regulated,Low,No,145,1639,8.27,1639,239,6.12,Medium
City_22,4789,High,696,No,Average,Well Regulated,High,No,195,1132,6.6,690,88,17.06,Low
City_23,14568,High,757,No,Poor,Unregulated,Moderate,No,187,1220,6.36,2800,66,18.55,Medium
City_24,6309,High,420,No,Average,Unregulated,Low,No,37,772,7.22,1480,113,6.11,Medium
City_25,5296,Medium,611,Yes,Good,Well Regulated,Moderate,Yes,229,1036,8.46,3475,257,9.57,Medium
City_26,20940,Medium,125,No,Poor,Well Regulated,Moderate,No,50,1233,6.61,1684,465,13.45,Medium
City_27,20035,Medium,189,Yes,Average,Well Regulated,Low,Yes,237,854,7.68,3827,472,12.51,High
City_28,18622,Low,724,No,Poor,Partially Regulated,Low,Yes,201,1312,7.9,3894,223,9.86,High
City_29,8667,Medium,385,No,Poor,Well Regulated,Low,No,154,1019,6.59,627,419,7.58,Medium
City_30,14766,High,733,Yes,Good,Unregulated,Low,Yes,210,1112,7.82,2565,237,2.68,High
City_31,5897,Low,411,No,Average,Unregulated,Moderate,Yes,221,1019,6.92,2316,493,1.53,Medium
City_32,20389,High,303,No,Good,Well Regulated,Moderate,No,229,1755,7.58,1069,451,23.97,Medium
City_33,18554,Low,287,No,Poor,Partially Regulated,Moderate,No,249,1195,7.58,2395,360,21.21,Medium
City_34,14780,Low,629,No,Average,Unregulated,High,No,55,882,7.34,3233,58,9.0,Low
City_35,22068,Medium,141,No,Good,Partially Regulated,Low,No,44,1446,6.23,4363,119,23.93,Medium
City_36,5492,Medium,351,Yes,Average,Partially Regulated,Moderate,Yes,262,833,8.09,4514,308,16.98,High
City_37,18394,Medium,659,Yes,Average,Well Regulated,Low,No,91,1262,6.8,3401,273,12.17,Medium
City_38,18507,High,194,No,Good,Partially Regulated,Low,Yes,265,612,6.47,2186,241,12.43,Medium
